VAN	van	VZ	inanimate
HET	het	LID	inanimate
WINTERKONINKJE	winterkoninkje	N	inanimate
In	in	VZ	inanimate
de	de	LID	inanimate
tijd	tijd	N	inanimate
dat	dat	VG	inanimate
de	de	LID	inanimate
dieren	dier	N	animate
nog	nog	BW	inanimate
spreken	spreken	WW	inanimate
konden	kunnen	WW	inanimate
,	,	LET	inanimate
is	zijn	WW	inanimate
er	er	VNW	inanimate
eens	eens	BW	inanimate
een	een	LID	inanimate
grote	groot	ADJ	inanimate
vergadering	vergadering	N	inanimate
gehouden	houden	WW	inanimate
,	,	LET	inanimate
waarbij	waarbij	BW	inanimate
alle	al	VNW	inanimate
vogels	vogel	N	animate
tegenwoordig	tegenwoordig	ADJ	inanimate
waren	zijn	WW	inanimate
.	.	LET	inanimate
De	de	LID	inanimate
viervoetige	viervoetig	ADJ	animate
dieren	dier	N	animate
hadden	hebben	WW	inanimate
allang	allang	BW	inanimate
een	een	LID	inanimate
koning	koning	N	animate
en	en	VG	inanimate
nu	nu	BW	inanimate
vonden	vinden	WW	inanimate
de	de	LID	inanimate
vogels	vogel	N	animate
,	,	LET	inanimate
dat	dat	VNW	inanimate
het	het	VNW	inanimate
niet	niet	BW	inanimate
aanging	aangaan	WW	inanimate
,	,	LET	inanimate
dat	dat	VG	inanimate
zij	zij	VNW	animate
het	het	VNW	inanimate
nog	nog	BW	inanimate
langer	lang	ADJ	inanimate
zonder	zonder	VZ	inanimate
koning	koning	N	animate
moesten	moeten	WW	inanimate
stellen	stellen	WW	inanimate
.	.	LET	inanimate
Ze	ze	VNW	animate
hadden	hebben	WW	inanimate
besloten	besluiten	WW	inanimate
om	om	VZ	inanimate
gezamenlijk	gezamenlijk	ADJ	inanimate
te	te	VZ	inanimate
beraadslagen	beraadslagen	WW	inanimate
,	,	LET	inanimate
wie	wie	VNW	inanimate
van	van	VZ	inanimate
hen	hen	VNW	animate
koning	koning	N	animate
zou	zullen	WW	inanimate
worden	worden	WW	inanimate
.	.	LET	inanimate
De	de	LID	inanimate
vergadering	vergadering	N	inanimate
begon	beginnen	WW	inanimate
al	al	BW	inanimate
voor	voor	VZ	inanimate
dag	dag	N	inanimate
en	en	VG	inanimate
dauw	dauw	N	inanimate
,	,	LET	inanimate
maar	maar	VG	inanimate
het	het	VNW	inanimate
duurde	duren	WW	inanimate
tot	tot	VZ	inanimate
laat	laat	ADJ	inanimate
in	in	VZ	inanimate
de	de	LID	inanimate
avond	avond	N	inanimate
voor	voor	VZ	inanimate
ze	ze	VNW	animate
tot	tot	VZ	inanimate
een	een	LID	inanimate
besluit	besluit	N	inanimate
kwamen	komen	WW	inanimate
,	,	LET	inanimate
want	want	VG	inanimate
iedereen	iedereen	VNW	animate
wilde	willen	WW	inanimate
zelf	zelf	BW	inanimate
koning	koning	N	animate
worden	worden	WW	inanimate
.	.	LET	inanimate
Dat	dat	VNW	inanimate
kon	kunnen	WW	inanimate
nu	nu	BW	inanimate
eenmaal	eenmaal	BW	inanimate
niet	niet	BW	inanimate
en	en	VG	inanimate
daarom	daarom	BW	inanimate
werd	worden	WW	inanimate
er	er	VNW	inanimate
tenslotte	tenslotte	BW	inanimate
besloten	besluiten	WW	inanimate
,	,	LET	inanimate
dat	dat	VG	inanimate
wie	wie	VNW	inanimate
het	het	VNW	inanimate
hoogst	hoog	ADJ	inanimate
zou	zullen	WW	inanimate
vliegen	vliegen	WW	inanimate
koning	koning	N	animate
over	over	VZ	inanimate
allen	al	VNW	animate
zou	zullen	WW	inanimate
wezen	wezen	WW	inanimate
.	.	LET	inanimate
De	de	LID	inanimate
volgende	volgen	WW	inanimate
morgen	morgen	BW	inanimate
zou	zullen	WW	inanimate
de	de	LID	inanimate
wedstrijd	wedstrijd	N	inanimate
plaatsvinden	plaatsvinden	WW	inanimate
.	.	LET	inanimate
Alleen	alleen	BW	inanimate
de	de	LID	inanimate
haan	haan	N	animate
was	zijn	WW	inanimate
niet	niet	BW	inanimate
erg	erg	ADJ	inanimate
tevreden	tevreden	ADJ	inanimate
over	over	VZ	inanimate
het	het	LID	inanimate
besluit	besluit	N	inanimate
,	,	LET	inanimate
want	want	VG	inanimate
hij	hij	VNW	animate
wist	weten	WW	inanimate
bij	bij	VZ	inanimate
voorbaat	voorbaat	N	inanimate
dat	dat	VG	inanimate
hij	hij	VNW	animate
niet	niet	BW	inanimate
winnen	winnen	WW	inanimate
zou	zullen	WW	inanimate
,	,	LET	inanimate
maar	maar	VG	inanimate
hij	hij	VNW	animate
troostte	troosten	WW	inanimate
zich	zich	VNW	animate
ermee	ermee	BW	inanimate
dat	dat	VG	inanimate
hij	hij	VNW	animate
toch	toch	BW	inanimate
in	in	VZ	inanimate
elk	elk	VNW	inanimate
geval	geval	N	inanimate
koning	koning	N	animate
over	over	VZ	inanimate
de	de	LID	inanimate
kippen	kip	N	animate
was	zijn	WW	inanimate
.	.	LET	inanimate
En	en	VG	inanimate
toen	toen	VG	inanimate
het	het	VNW	inanimate
's	's	LID	inanimate
morgens	morgen	N	inanimate
dag	dag	N	inanimate
werd	worden	WW	inanimate
,	,	LET	inanimate
kraaide	kraaien	WW	inanimate
hij	hij	VNW	animate
er	er	VNW	inanimate
lustig	lustig	ADJ	inanimate
op	op	VZ	inanimate
los	los	ADJ	inanimate
tot	tot	VZ	inanimate
alle	al	VNW	inanimate
vogels	vogel	N	animate
wakker	wakke	ADJ	inanimate
waren	zijn	WW	inanimate
.	.	LET	inanimate
Het	het	VNW	inanimate
duurde	duren	WW	inanimate
niet	niet	BW	inanimate
lang	lang	ADJ	inanimate
of	of	VG	inanimate
de	de	LID	inanimate
wedstrijd	wedstrijd	N	inanimate
kon	kunnen	WW	inanimate
beginnen	beginnen	WW	inanimate
.	.	LET	inanimate
De	de	LID	inanimate
vogels	vogel	N	animate
sloegen	slaan	WW	inanimate
hun	hun	VNW	animate
vlerken	vlerk	N	inanimate
uit	uit	VZ	inanimate
en	en	VG	inanimate
vlogen	vliegen	WW	inanimate
op	op	VZ	inanimate
.	.	LET	inanimate
Het	het	VNW	inanimate
was	zijn	WW	inanimate
een	een	LID	inanimate
gefladder	gefladder	N	inanimate
en	en	VG	inanimate
geklapper	geklapper	N	inanimate
zoals	zoals	VG	inanimate
men	men	VNW	inanimate
nog	nog	BW	inanimate
nooit	nooit	BW	inanimate
had	hebben	WW	inanimate
gehoord	horen	WW	inanimate
.	.	LET	inanimate
De	de	LID	inanimate
leeuwerik	leeuwerik	N	animate
ging	gaan	WW	inanimate
recht	recht	ADJ	inanimate
naar	naar	VZ	inanimate
de	de	LID	inanimate
hemel	hemel	N	inanimate
en	en	VG	inanimate
de	de	LID	inanimate
reiger	reiger	N	animate
en	en	VG	inanimate
de	de	LID	inanimate
sperwer	sperwer	N	animate
en	en	VG	inanimate
de	de	LID	inanimate
havik	havik	N	animate
waren	zijn	WW	inanimate
ook	ook	BW	inanimate
weldra	weldra	BW	inanimate
heel	heel	ADJ	inanimate
hoog	hoog	ADJ	inanimate
,	,	LET	inanimate
maar	maar	VG	inanimate
de	de	LID	inanimate
patrijs	patrijs	N	animate
en	en	VG	inanimate
de	de	LID	inanimate
fazant	fazant	N	animate
bleven	blijven	WW	inanimate
dadelijk	dadelijk	ADJ	inanimate
achter	achter	VZ	inanimate
en	en	VG	inanimate
gaven	geven	WW	inanimate
de	de	LID	inanimate
strijd	strijd	N	inanimate
al	al	BW	inanimate
gauw	gauw	ADJ	inanimate
op.Het	op.het	ADJ	inanimate
hoogst	hoog	ADJ	inanimate
van	van	VZ	inanimate
allen	al	VNW	animate
kwam	komen	WW	inanimate
echter	echter	BW	inanimate
de	de	LID	inanimate
arend	arend	N	animate
.	.	LET	inanimate
Eén	Eén	SPEC	inanimate
voor	voor	VZ	inanimate
één	een	TW	inanimate
haalde	halen	WW	inanimate
hij	hij	VNW	animate
de	de	LID	inanimate
andere	ander	ADJ	inanimate
vogels	vogel	N	animate
in	in	VZ	inanimate
,	,	LET	inanimate
want	want	VG	inanimate
geen	geen	VNW	inanimate
van	van	VZ	inanimate
allen	al	VNW	animate
kon	kunnen	WW	inanimate
het	het	VNW	inanimate
tegen	tegen	VZ	inanimate
hem	hem	VNW	animate
uithouden	uithouden	WW	inanimate
.	.	LET	inanimate
Hij	hij	VNW	animate
zag	zien	WW	inanimate
ten	te	VZ	inanimate
laatste	laat	ADJ	inanimate
,	,	LET	inanimate
dat	dat	VG	inanimate
hij	hij	VNW	animate
de	de	LID	inanimate
overwinnaar	overwinnaar	N	animate
was	zijn	WW	inanimate
en	en	VG	inanimate
riep	roepen	WW	inanimate
met	met	VZ	inanimate
schelle	schel	ADJ	inanimate
stem	stem	N	inanimate
:	:	LET	inanimate
"	"	LET	inanimate
Hier	hier	VNW	inanimate
ben	zijn	WW	inanimate
ik	ik	VNW	animate
!	!	LET	inanimate
"	"	LET	inanimate
Maar	maar	VG	inanimate
toen	toen	BW	inanimate
riep	roepen	WW	inanimate
een	een	LID	inanimate
héél	héél	ADJ	inanimate
klein	klein	ADJ	inanimate
vogeltje	vogel	N	animate
boven	boven	VZ	inanimate
hem	hem	VNW	animate
met	met	VZ	inanimate
een	een	LID	inanimate
fijne	fijn	ADJ	inanimate
stem	stem	N	inanimate
:	:	LET	inanimate
"	"	LET	inanimate
En	en	VG	inanimate
hier	hier	VNW	inanimate
ben	zijn	WW	inanimate
ik	ik	VNW	animate
!	!	LET	inanimate
"	"	LET	inanimate
Dat	dat	VNW	inanimate
was	zijn	WW	inanimate
het	het	LID	inanimate
winterkoninkje	winterkoninkje	N	animate
,	,	LET	inanimate
dat	dat	VNW	inanimate
stilletjes	stil	ADJ	inanimate
op	op	VZ	inanimate
de	de	LID	inanimate
rug	rug	N	inanimate
van	van	VZ	inanimate
de	de	LID	inanimate
arend	arend	N	animate
was	zijn	WW	inanimate
gaan	gaan	WW	inanimate
zitten	zitten	WW	inanimate
en	en	VG	inanimate
zich	zich	VNW	animate
zo	zo	BW	inanimate
naar	naar	VZ	inanimate
boven	boven	VZ	inanimate
had	hebben	WW	inanimate
laten	laten	WW	inanimate
dragen	dragen	WW	inanimate
.	.	LET	inanimate
De	de	LID	inanimate
arend	arend	N	animate
was	zijn	WW	inanimate
woedend	woedend	ADJ	inanimate
,	,	LET	inanimate
maar	maar	VG	inanimate
hij	hij	VNW	animate
was	zijn	WW	inanimate
te	te	BW	inanimate
vermoeid	vermoeid	ADJ	inanimate
om	om	VZ	inanimate
nog	nog	BW	inanimate
langer	lang	ADJ	inanimate
te	te	VZ	inanimate
vliegen	vliegen	WW	inanimate
en	en	VG	inanimate
het	het	LID	inanimate
winterkoninkje	winterkoninkje	N	animate
was	zijn	WW	inanimate
dus	dus	BW	inanimate
hoger	hoog	ADJ	inanimate
gekomen	komen	WW	inanimate
dan	dan	VG	inanimate
hij	hij	VNW	animate
.	.	LET	inanimate
Toen	toen	VG	inanimate
alle	al	VNW	inanimate
vogels	vogel	N	animate
weer	weer	BW	inanimate
bij	bij	VZ	inanimate
elkaar	elkaar	VNW	inanimate
waren	zijn	WW	inanimate
,	,	LET	inanimate
hadden	hebben	WW	inanimate
ze	ze	VNW	animate
dus	dus	BW	inanimate
eigenlijk	eigenlijk	ADJ	inanimate
het	het	LID	inanimate
winterkoninkje	winterkoninkje	N	animate
tot	tot	VZ	inanimate
koning	koning	N	animate
moeten	moeten	WW	inanimate
uitroepen	uitroep	N	inanimate
,	,	LET	inanimate
maar	maar	VG	inanimate
niemand	niemand	VNW	animate
wilde	willen	WW	inanimate
zo'n	zo'n	VNW	inanimate
nietig	nietig	ADJ	inanimate
diertje	dier	N	animate
als	als	VZ	inanimate
koning	koning	N	animate
erkennen	erkennen	WW	inanimate
.	.	LET	inanimate
En	en	VG	inanimate
of	of	VG	inanimate
het	het	LID	inanimate
winterkoninkje	winterkoninkje	N	animate
al	al	BW	inanimate
zei	zeggen	WW	inanimate
,	,	LET	inanimate
dat	dat	VG	inanimate
zij	zij	VNW	animate
zich	zich	VNW	animate
aan	aan	VZ	inanimate
het	het	LID	inanimate
besluit	besluit	N	inanimate
van	van	VZ	inanimate
de	de	LID	inanimate
vorige	vorig	ADJ	inanimate
dag	dag	N	inanimate
moesten	moeten	WW	inanimate
houden	houden	WW	inanimate
,	,	LET	inanimate
het	het	VNW	inanimate
gaf	geven	WW	inanimate
hem	hem	VNW	animate
niets	niets	VNW	inanimate
.	.	LET	inanimate
Ze	ze	VNW	animate
verklaarden	verklaren	WW	inanimate
,	,	LET	inanimate
dat	dat	VNW	inanimate
de	de	LID	inanimate
arend	arend	N	animate
koning	koning	N	animate
moest	moeten	WW	inanimate
worden	worden	WW	inanimate
en	en	VG	inanimate
ze	ze	VNW	animate
drongen	dringen	WW	inanimate
van	van	VZ	inanimate
alle	al	VNW	inanimate
kanten	kant	N	inanimate
op	op	VZ	inanimate
het	het	LID	inanimate
winterkoninkje	winterkoninkje	N	animate
aan	aan	VZ	inanimate
,	,	LET	inanimate
zodat	zodat	VG	inanimate
het	het	VNW	animate
moest	moeten	WW	inanimate
vluchten	vluchten	WW	inanimate
om	om	VZ	inanimate
er	er	VNW	inanimate
het	het	LID	inanimate
leven	leven	N	inanimate
af	af	VZ	inanimate
te	te	VZ	inanimate
brengen	brengen	WW	inanimate
.	.	LET	inanimate
Het	het	VNW	animate
vloog	vliegen	WW	inanimate
haastig	haastig	ADJ	inanimate
weg	weg	BW	inanimate
en	en	VG	inanimate
kroop	kruipen	WW	inanimate
in	in	VZ	inanimate
het	het	LID	inanimate
gat	gat	N	inanimate
van	van	VZ	inanimate
een	een	LID	inanimate
holle	hol	ADJ	inanimate
boom	boom	N	inanimate
,	,	LET	inanimate
zodat	zodat	VG	inanimate
de	de	LID	inanimate
andere	ander	ADJ	inanimate
vogels	vogel	N	animate
niet	niet	BW	inanimate
bij	bij	VZ	inanimate
hem	hem	VNW	animate
konden	kunnen	WW	inanimate
komen	komen	WW	inanimate
.	.	LET	inanimate
Maar	maar	VG	inanimate
ze	ze	VNW	animate
waren	zijn	WW	inanimate
hem	hem	VNW	animate
achterna	achterna	BW	inanimate
gevlogen	vliegen	WW	inanimate
en	en	VG	inanimate
de	de	LID	inanimate
arend	arend	N	animate
droeg	dragen	WW	inanimate
de	de	LID	inanimate
uil	uil	N	animate
